id,title_id,name,character,role
40900,127384,Rita Davies,Historian's Wife,ACTOR
40901,127384,Avril Stewart,Dr. Piglet,ACTOR
40902,127384,Sally Kinghorn,Dr. Winston,ACTOR
40903,127384,Mark Zycon,Prisoner,ACTOR
1275018,127384,Elspeth Cameron,Girl in Castle Anthrax,ACTOR
1462970,127384,Mitsuko Forstater,Girl in Castle Anthrax,ACTOR
589811,127384,Sandy Johnson,Knight of Ni / Villager at Witch Burning / Musician at Wedding / Monk / Knight in Battle,ACTOR
976111,127384,Sandy Rose,Girl in Castle Anthrax,ACTOR
1462971,127384,Romilly Squire,Musician at Wedding / Villager at Witch Burning,ACTOR
90024,127384,Joni Flynn,Girl in Castle Anthrax,ACTOR
1462991,127384,Alison Walker,Girl in Castle Anthrax,ACTOR
1462993,127384,Loraine Ward,Girl in Castle Anthrax,ACTOR
1462994,127384,Anna Lanski,Girl in Castle Anthrax,ACTOR
1462623,127384,Sally Coombe,Girl in Castle Anthrax,ACTOR
1462995,127384,Vivienne MacDonald,Girl in Castle Anthrax,ACTOR
1462975,127384,Yvonne Dick,Girl in Castle Anthrax,ACTOR
1462978,127384,Daphne Darling,Girl in Castle Anthrax,ACTOR
703435,127384,Fiona Gordon,Girl in Castle Anthrax,ACTOR
1463011,127384,Judy Lamb,Girl in Castle Anthrax,ACTOR
1462986,127384,Tracy Sneddon,Girl in Castle Anthrax,ACTOR
1462588,127384,Joyce Pollner,Girl in Castle Anthrax,ACTOR
889417,127384,Mary Allen,Girl in Castle Anthrax,ACTOR
1464056,127384,Gloria Graham,Girl in Castle Anthrax,ACTOR
1671807,127384,Sylvia Taylor,Girl in Castle Anthrax,ACTOR
2587015,127384,Iain Banks,Knight in Battle (uncredited),ACTOR
11490,127384,Julian Doyle,Police Sergeant (uncredited),ACTOR
84047,127384,Margarita Doyle,Peasant (uncredited),ACTOR
1463016,127384,Zack Matalon,Guard who Falls into Barrels (uncredited),ACTOR
1463018,127384,Scott Mike,Bash (Mudfighter (uncredited),ACTOR
1463021,127384,William Palin,Sir Not-Appearing-in-this-Film (uncredited),ACTOR
11475,127384,Terry Jones,Themselves (uncredited),ACTOR
919694,127384,Tom Raeburn,Guard Eating Apple (uncredited),ACTOR
400172,127384,Brian Ross,Biff (Mudfighter) (uncredited),ACTOR
14908,127384,Roy Forge Smith,Inspector End of Film (uncredited),ACTOR
8327,127384,John Thornton,Dancing Knight (uncredited),ACTOR
156072,127384,Maggie Weston,Page-turner (uncredited),ACTOR
11473,127384,Terry Gilliam,,DIRECTOR
11475,127384,Terry Jones,,DIRECTOR
32454,17249,John Belushi,"John ""Bluto"" Blutarski",ACTOR
463,17249,Tim Matheson,"Eric ""Otter"" Stratton",ACTOR
29250,17249,John Vernon,Dean Vernon Wormer,ACTOR
32455,17249,Verna Bloom,Marion Wormer,ACTOR
10622,17249,Tom Hulce,"Larry ""Pinto"" Kroger",ACTOR
32458,17249,Cesare Danova,Mayor Carmine DePasto,ACTOR
9035,17249,Peter Riegert,"Donald ""Boon"" Schoenstein",ACTOR
32459,17249,Mary Louise Weller,Mandy Pepperidge,ACTOR
32460,17249,Stephen Furst,"Kent ""Flounder"" Dorfman",ACTOR
32463,17249,James Widdoes,Robert Hoover,ACTOR
6430,17249,Bruce McGill,Daniel Simpson Day,ACTOR
32464,17249,Mark Metcalf,Doug Neidermeyer,ACTOR
32465,17249,DeWayne Jessie,Otis Day,ACTOR
8061,17249,Karen Allen,Katy,ACTOR
32469,17249,James Daughton,Greg Marmalard,ACTOR
32470,17249,Martha Smith,"Barbara Sue ""Babs"" Jansen",ACTOR
32471,17249,Sarah Holcomb,Clorette DePasto,ACTOR
32472,17249,Lisa Baur,Shelly,ACTOR
5733,17249,Kevin Bacon,Chip Diller,ACTOR
1765,17249,Donald Sutherland,Dave Jennings,ACTOR
32473,17249,Douglas Kenney,Stork,ACTOR
32474,17249,Chris Miller,Hardbar,ACTOR
32475,17249,Bruce Bonnheim,B.B.,ACTOR
32476,17249,Joshua Daniel,Mothball,ACTOR
32477,17249,Sunny Johnson,Otter's Co-Ed,ACTOR
32478,17249,Stacy Grooman,Sissy,ACTOR
32479,17249,Eliza Roberts,Brunella,ACTOR
32480,17249,Aseneth Jurgenson,Beth,ACTOR
32481,17249,Katherine Denning,Noreen,ACTOR
32482,17249,Raymone Robinson,Mean Dude,ACTOR
32483,17249,Robert Elliott,Meaner Dude,ACTOR
32484,17249,Reginald Farmer,Meanest Dude,ACTOR
